neighborhood,cd,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,borough,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,nfh_median_income,nfh_poverty_rate,nfh_pct_white,nfh_pct_black,nfh_pct_asian,nfh_pct_hispanic,nfh_goal1_fin_services_score,nfh_goal2_goods_services_score,nfh_goal3_jobs_income_score,nfh_goal4_fin_shocks_score,nfh_goal5_build_assets_score,nfh_overall_score,nfh_goal1_fin_services_rank,nfh_goal2_goods_services_rank,nfh_goal3_jobs_income_rank,nfh_goal4_fin_shocks_rank,nfh_goal5_build_assets_rank,nfh_overall_rank
"Hunts Point, Longwood & Melrose",BX01 & BX02,211.0,147.0,355.0,45470.0,110055.0,1447.0,304.0,3536.0,23131.0,67.01324901553801,10.0,BRONX,713.0,156972.0,0.701112300282853,0.28966949519659557,0.009218204520551436,15510,0.293,0.016,0.282,0.008,0.682,0.296402698,3.005490318,0.0,3.384573689,2.865710089,0.669154368,49,39,55,33,48,51
"Belmont, Crotona Park East & East Tremont",BX03 & BX06,68.0,17.0,39.0,51541.0,109141.0,1324.0,112.0,1271.0,23710.0,62.15027426087556,12.0,BRONX,124.0,162006.0,0.6736849252496822,0.3181425379306939,0.008172536819623965,14213,0.308,0.045,0.301,0.008,0.635,0.046128128,1.765045746,0.501338374,1.286041906,2.144953355,0.0,53,52,52,47,51,55
"Concourse, Highbridge & Mount Eden",BX04,31.0,6.0,10.0,43801.0,90360.0,2429.0,83.0,786.0,27102.0,67.29935648952625,15.0,BRONX,47.0,136590.0,0.6615418405446958,0.3206750128120653,0.01778314664323889,16710,0.323,0.017,0.308,0.017,0.641,0.272740537,3.712555474,0.452719533,0.839734266,2.512425243,0.330753432,50,33,53,51,50,54
"Morris Heights, Fordham South & Mount Hope",BX05,68.0,19.0,56.0,37473.0,94206.0,1908.0,144.0,1585.0,24436.0,65.35902331771105,14.0,BRONX,143.0,133587.0,0.7052033506254352,0.28051382245278356,0.014282826921781311,15628,0.344,0.013,0.274,0.015,0.688,3.125508772,0.544872894,1.365477184,0.0,1.538734934,0.410660341,26,54,50,55,54,53
"Bedford Park, Fordham North & Norwood",BX07,155.0,28.0,44.0,19946.0,90547.0,7995.0,333.0,3069.0,32732.0,67.63367038543338,16.0,BRONX,227.0,118488.0,0.764187090675849,0.16833772196340557,0.0674751873607454,18674,0.264,0.066,0.154,0.061,0.696,0.737827981,2.297732958,2.433739036,2.205196375,1.800646458,0.985036098,47,48,37,41,53,50
"Riverdale, Fieldston & Kingsbridge",BX08,71.0,7.0,29.0,13643.0,52398.0,5882.0,153.0,1575.0,58409.0,56.06795606795607,39.0,BRONX,107.0,71923.0,0.7285291214215203,0.1896889729293828,0.08178190564909694,30437,0.152,0.324,0.124,0.052,0.477,1.919035719,4.585010881,3.970855777,7.4913156,5.184720365,3.960089745,40,19,20,10,29,18
"Castle Hill, Clason Point & Parkchester",BX09,141.0,20.0,68.0,55079.0,110649.0,13570.0,233.0,2093.0,36440.0,59.929453262786595,14.0,BRONX,229.0,179298.0,0.6171234481143125,0.3071924951756294,0.07568405671005811,20300,0.264,0.028,0.288,0.071,0.584,1.077984493,3.899310741,1.040062293,2.879896259,3.696704143,1.422523912,44,29,51,36,42,47
"Co-op City, Pelham Bay & Schuylerville",BX10,236.0,36.0,81.0,34752.0,45500.0,3577.0,260.0,2411.0,56627.0,43.94667493411874,25.0,BRONX,353.0,83829.0,0.5427715945555834,0.4145582077801238,0.04267019766429279,31573,0.14,0.293,0.285,0.03,0.371,3.440500048,4.703062631,3.993143129,6.827386299,6.575279816,4.525947159,22,18,19,13,15,13
"Pelham Parkway, Morris Park & Laconia",BX11,87.0,11.0,15.0,28076.0,60838.0,9779.0,61.0,689.0,47655.0,51.825783331801894,22.0,BRONX,113.0,98693.0,0.6164368293597317,0.2844781291479639,0.09908504149230442,25358,0.205,0.218,0.215,0.076,0.47,2.329568091,3.99776457,2.276156352,2.476304992,4.240034444,2.180630429,33,24,41,37,37,40
"Wakefield, Williamsbridge & Woodlawn",BX12,143.0,30.0,21.0,95164.0,32714.0,3812.0,102.0,984.0,47168.0,49.82769270782535,23.0,BRONX,194.0,131690.0,0.24841673627458424,0.7226364947983902,0.02894676892702559,26136,0.232,0.069,0.655,0.026,0.226,1.706672153,3.126583461,3.535724348,1.049708111,4.637372866,2.127159355,42,37,25,49,34,41
