neighborhood,cd,borough,area_km2,total_poi,unique_poi,category_diversity,num_retail,food,other,retail,ratio_retail,ratio_food,category_entropy,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,nfh_median_income,nfh_poverty_rate,nfh_pct_white,nfh_pct_black,nfh_pct_asian,nfh_pct_hispanic,nfh_goal1_fin_services_score,nfh_goal2_goods_services_score,nfh_goal3_jobs_income_score,nfh_goal4_fin_shocks_score,nfh_goal5_build_assets_score,nfh_overall_score,nfh_goal1_fin_services_rank,nfh_goal2_goods_services_rank,nfh_goal3_jobs_income_rank,nfh_goal4_fin_shocks_rank,nfh_goal5_build_assets_rank,nfh_overall_rank,poi_density_per_km2,retail_density_per_km2,food_density_per_km2,subway_density_per_km2,commercial_activity_score,transit_activity_score
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,12.23077578536677,1194.0,1145.0,2.0,0.0,299.0,895.0,0.0,0.0,0.25041876046901174,0.5627947325624211,2552.689312714777,8882.0,3.0,13.0,508.0,267.0,440.0,6649.0,36720.0,11353.0,673.0,5556.0,59577.0,63.42524494527686,47.0,1215.0,54722.0,0.6710281056978912,0.1215050619494901,0.2074668323526187,35889.0,0.173,0.631,0.042,0.073,0.233,3.320402789,5.179880069,4.385767849,6.613577647,3.961994477,4.052349182,24.0,16.0,14.0,14.0,39.0,17.0,97.62258919246429,0.0,24.446527779352447,1.0628925121457586,3047911.0393814435,33184.9610652921
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,7.053267304241385,766.0,714.0,2.0,0.0,203.0,563.0,0.0,0.0,0.2650130548302872,0.5782353755002146,2513.553387819839,15733.0,7.0,16.0,227.0,183.0,289.0,35614.0,21538.0,12722.0,646.0,6076.0,82127.0,68.37516846361186,60.0,699.0,69874.0,0.3082405472708017,0.5096888685347912,0.182070584194407,44313.0,0.121,0.447,0.261,0.092,0.158,3.856805712,3.232936999,6.44439353,9.729586048,5.691804701,5.583937505,19.0,35.0,6.0,4.0,24.0,9.0,108.60215088394231,0.0,28.780987766893332,2.268452237784696,1925381.8950699966,40216.85420511742
BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN,7.264679470747852,444.0,427.0,2.0,0.0,119.0,325.0,0.0,0.0,0.268018018018018,0.5812775355461062,2913.264425594739,9538.568181818182,0.0,8.0,65.0,19.0,32.0,75618.0,26792.0,4830.0,219.0,1512.0,40537.0,65.55998008959682,29.0,116.0,107240.0,0.2498321521820216,0.7051286833271168,0.0450391644908616,24627.0,0.226,0.231,0.53,0.032,0.188,2.537663414,2.937001391,2.601014925,4.516794963,4.537172811,2.650783399,32.0,40.0,36.0,26.0,36.0,35.0,61.11763110648198,0.0,16.380626355115666,1.101218578495171,1293489.404964064,23306.11540475791
BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN,5.263301104795695,418.0,412.0,3.0,1.0,108.0,309.0,1.0,0.0023923444976076554,0.2583732057416268,0.5874607935515049,2913.264425594739,9538.568181818182,0.0,11.0,154.0,163.0,278.0,24780.0,82261.0,6499.0,310.0,2486.0,42197.0,69.82930037627337,25.0,595.0,113540.0,0.7245111854852915,0.218249075215783,0.0572397392989254,22264.0,0.251,0.148,0.183,0.048,0.605,2.925479835,2.302937307,2.235093517,0.88836403,1.898912557,1.183496133,29.0,47.0,42.0,50.0,52.0,49.0,79.41783904765325,0.18999483025754366,20.519441667814714,2.08994313283298,1217744.529898601,32045.90868154213
BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN,15.371722565642834,261.0,241.0,2.0,0.0,66.0,195.0,0.0,0.0,0.25287356321839083,0.565470112710913,2913.264425594739,9538.568181818182,0.0,15.0,135.0,72.0,145.0,81157.0,57794.0,7060.0,221.0,2065.0,36385.0,64.17550225536377,14.0,352.0,146011.0,0.3958194930518933,0.5558279855627316,0.048352521385375,22796.0,0.298,0.038,0.522,0.045,0.371,2.270682155,3.908765039,2.103154331,2.410916541,3.894222789,2.002814118,35.0,27.0,45.0,39.0,40.0,43.0,16.97922915830905,0.0,4.293598177963208,0.9758177677189109,760362.0150802268,43698.966383921084
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN,8.049412344565196,691.0,671.0,3.0,1.0,204.0,486.0,1.0,0.001447178002894356,0.2952243125904486,0.617164613984949,2105.1203350515466,7496.0,4.0,8.0,264.0,133.0,163.0,7933.0,20395.0,7306.0,461.0,3504.0,104652.0,66.69263791496708,71.0,560.0,35634.0,0.5723466352360106,0.222624459785598,0.2050289049783914,57393.0,0.095,0.646,0.068,0.064,0.175,4.50545082,6.629636428,7.20065462,9.459732636,7.186998133,6.797665734,9.0,11.0,4.0,7.0,11.0,6.0,85.84477604337782,0.12423267155336876,25.343464996887228,0.99386137242695,1454638.1515206187,16840.962680412373
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN,9.805634284560268,578.0,560.0,2.0,0.0,241.0,337.0,0.0,0.0,0.41695501730103807,0.6792901169422845,4110.773195876289,10699.0,1.0,9.0,353.0,253.0,542.0,3840.0,62339.0,49164.0,424.0,3994.0,48232.0,62.85869674113724,27.0,1148.0,115343.0,0.5404662614983137,0.0332920073173057,0.4262417311843805,20787.0,0.294,0.223,0.026,0.324,0.412,2.312304195,3.307364481,2.170550249,2.136147505,4.802942182,2.098303992,34.0,34.0,44.0,43.0,31.0,42.0,58.945702361152286,0.0,24.57770634781609,0.9178396561425096,2376026.907216495,36996.9587628866
BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN,4.360856595570427,347.0,339.0,2.0,0.0,78.0,269.0,0.0,0.0,0.22478386167146974,0.5328963949477731,1397.494845360825,2678.0,1.0,2.0,71.0,37.0,63.0,75704.0,15506.0,4509.0,291.0,2053.0,45503.0,69.62384669978708,38.0,171.0,95719.0,0.1619950062161117,0.7908983587375548,0.0471066350463335,29895.0,0.214,0.213,0.593,0.037,0.122,0.0,1.482363408,3.955710823,4.212970636,4.551775555,2.233945623,55.0,53.0,21.0,29.0,35.0,39.0,79.5715227949637,0.0,17.886394172931322,0.4586254916136236,484930.71134020627,2794.98969072165
BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN,4.096329307287102,221.0,212.0,2.0,0.0,49.0,172.0,0.0,0.0,0.22171945701357465,0.5290756217922568,2913.264425594739,9538.568181818182,0.0,10.0,29.0,13.0,14.0,73991.0,10702.0,1996.0,78.0,771.0,44329.0,67.77943244808472,29.0,56.0,86689.0,0.1234528025470359,0.8535223615452942,0.0230248359076699,26140.0,0.221,0.198,0.663,0.018,0.096,1.256320872,5.003916398,2.71796189,3.783192789,3.766236934,2.385528041,43.0,17.0,35.0,31.0,41.0,37.0,53.950740631827486,0.0,11.96192891836899,2.44120998334061,643831.4380564373,29132.644255947387
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN,10.145826507994883,461.0,442.0,2.0,0.0,150.0,311.0,0.0,0.0,0.32537960954446854,0.6308581518856287,3326.7,6828.0,1.0,4.0,276.0,32.0,124.0,2012.0,19288.0,30042.0,304.0,2920.0,60863.0,52.31385164076295,40.0,432.0,51342.0,0.3756768337813096,0.0391881890070507,0.5851349772116395,30858.0,0.19,0.573,0.015,0.24,0.154,4.488325238,3.918961695,3.305963139,7.017550359,5.61676221,4.235343126,10.0,26.0,29.0,11.0,26.0,15.0,45.43740223004339,0.0,14.78440419632648,0.39425077856870616,1533608.7,13306.8
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN,9.571513305646366,452.0,433.0,2.0,0.0,194.0,258.0,0.0,0.0,0.42920353982300885,0.6830891360975786,2913.264425594739,9538.568181818182,0.0,10.0,628.0,162.0,466.0,1637.0,27200.0,73858.0,459.0,6457.0,51165.0,59.5666261156547,29.0,1256.0,102695.0,0.2648619699109012,0.01594040605677,0.7191976240323288,23329.0,0.23,0.442,0.009,0.391,0.144,1.934661739,3.158381857,2.284918865,4.691388121,5.734567795,2.753829497,39.0,36.0,40.0,24.0,23.0,33.0,47.2234625357893,0.0,20.26847728306001,1.0447668702608253,1316795.520368822,29132.644255947387
BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN,9.388604749014714,299.0,292.0,2.0,1.0,102.0,197.0,0.0,0.0033444816053511705,0.3411371237458194,0.6417868459111566,2913.264425594739,9538.568181818182,0.0,10.0,515.0,171.0,414.0,4002.0,18102.0,22821.0,241.0,4917.0,42864.0,43.864175869542784,28.0,1100.0,44925.0,0.4029382303839733,0.0890818030050083,0.5079799666110184,21103.0,0.283,0.707,0.023,0.14,0.109,4.010612735,6.006805696,1.661410176,3.16913343,6.679622235,3.377282145,18.0,13.0,49.0,35.0,14.0,26.0,31.8471176488049,0.1065120991598826,10.864234114308026,1.065120991598826,871066.0632528269,29132.644255947387
