neighborhood,cd,borough,area_km2,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,shooting_incident_count,storefront_filing_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,total_population_proxy,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,category_diversity,category_entropy,subway_density_per_km2,storefront_density_per_km2,commercial_activity_score,competitive_score,transit_activity_score
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,12.230775785367017,1912.222222222222,4835.0,3.0,13.0,0,0,508.0,267.0,440.0,6649.0,36720.0,11353.0,54722.0,673.0,5556.0,59577.0,63.42524494527686,47.0,1215.0,0,0.0,1.062892512145737,0.0,0.0,0.0,10.121010895581218
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,7.05326730424141,2372.6666666666665,7943.0,6.0,16.0,0,0,227.0,183.0,289.0,35614.0,21538.0,12722.0,69874.0,646.0,6076.0,82127.0,68.37516846361186,60.0,699.0,0,0.0,2.268452237784688,0.0,0.0,0.0,10.544384840963883
BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN,7.264679470748309,2146.3333333333335,4835.0,0.0,8.0,0,0,65.0,19.0,32.0,75618.0,26792.0,4830.0,107240.0,219.0,1512.0,40537.0,65.55998008959682,29.0,116.0,0,0.0,1.1012185784951016,0.0,0.0,0.0,9.75101601771106
BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN,5.263301104795565,2146.3333333333335,4835.0,0.0,11.0,0,0,154.0,163.0,278.0,24780.0,82261.0,6499.0,113540.0,310.0,2486.0,42197.0,69.82930037627337,25.0,595.0,0,0.0,2.0899431328330316,0.0,0.0,0.0,10.069453866303812
BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN,15.371722565643388,2146.3333333333335,4835.0,0.0,15.0,0,0,135.0,72.0,145.0,81157.0,57794.0,7060.0,146011.0,221.0,2065.0,36385.0,64.17550225536377,14.0,352.0,0,0.0,0.9758177677188757,0.0,0.0,0.0,10.379597500213624
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN,8.049412344565424,1978.25,5085.0,4.0,8.0,0,0,264.0,133.0,163.0,7933.0,20395.0,7306.0,35634.0,461.0,3504.0,104652.0,66.69263791496708,71.0,560.0,0,0.0,0.9938613724269221,0.0,0.0,0.0,9.669472621333282
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN,9.805634284559714,2978.5,4990.0,1.0,9.0,0,0,353.0,253.0,542.0,3840.0,62339.0,49164.0,115343.0,424.0,3994.0,48232.0,62.85869674113724,27.0,1148.0,0,0.0,0.9178396561425615,0.0,0.0,0.0,10.196436978094301
BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN,4.360856595569753,1608.5,2376.0,1.0,2.0,0,0,71.0,37.0,63.0,75704.0,15506.0,4509.0,95719.0,291.0,2053.0,45503.0,69.62384669978708,38.0,171.0,0,0.0,0.45862549161369454,0.0,0.0,0.0,8.076515327552329
BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN,4.0963293072875695,2146.3333333333335,4835.0,0.0,10.0,0,0,29.0,13.0,14.0,73991.0,10702.0,1996.0,86689.0,78.0,771.0,44329.0,67.77943244808472,29.0,56.0,0,0.0,2.4412099833403316,0.0,0.0,0.0,9.974147921864361
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN,10.145826507993739,3086.0,6004.0,1.0,4.0,0,0,276.0,32.0,124.0,2012.0,19288.0,30042.0,51342.0,304.0,2920.0,60863.0,52.31385164076295,40.0,432.0,0,0.0,0.3942507785687506,0.0,0.0,0.0,9.42100640177928
