business_name,category,borough,latitude,longitude,poi_type,description
RA @ CITADEL CONFERENCE CENTER,unknown,MANHATTAN,40.76013593122,-73.97686164576,restaurant,unknown restaurant in MANHATTAN
LINCOLN STATION,unknown,BROOKLYN,40.67180392616,-73.97749443141,restaurant,unknown restaurant in BROOKLYN
ALTA GAMA,unknown,QUEENS,40.70880856561,-73.77848691614,restaurant,unknown restaurant in QUEENS
MANGOS 960,unknown,BROOKLYN,40.65521375308,-74.00675755349,restaurant,unknown restaurant in BROOKLYN
GENATSVALE INC,unknown,BROOKLYN,40.6053535281,-73.98183130733,restaurant,unknown restaurant in BROOKLYN
DANTE APERITIVO BAR,unknown,MANHATTAN,40.7367967442,-74.00401260566,restaurant,unknown restaurant in MANHATTAN
FRAME3 INC,unknown,MANHATTAN,40.79137066832,-73.97418551453,restaurant,unknown restaurant in MANHATTAN
WU JIA YOU TIAN SWEETNESS INC.,unknown,QUEENS,40.74719586468,-73.92341650594,restaurant,unknown restaurant in QUEENS
The Canuck True North,unknown,MANHATTAN,40.74754235543,-73.99314281904,restaurant,unknown restaurant in MANHATTAN
SIP & SIZZLE,unknown,MANHATTAN,40.77494261333,-73.9478494536,restaurant,unknown restaurant in MANHATTAN
PA-NASH EUROSOUL,unknown,QUEENS,40.66017128168,-73.73947018425,restaurant,unknown restaurant in QUEENS
SHEER BLISS TASTE,unknown,BROOKLYN,40.64082597161,-73.95021031058,restaurant,unknown restaurant in BROOKLYN
CARIBBEAN FLAME CUISINE,unknown,QUEENS,40.68229006769,-73.81497654582,restaurant,unknown restaurant in QUEENS
"HEART & SEOUL FOOD CO, LLC",unknown,MANHATTAN,40.73660979179,-73.99067937838,restaurant,unknown restaurant in MANHATTAN
TAQUERIA AL PASTOR,mexican,BROOKLYN,40.70345966173,-73.91789106533,restaurant,mexican restaurant in BROOKLYN
GREENLAND DELI PLUS CORP,unknown,BRONX,40.89904998943,-73.86747289558,restaurant,unknown restaurant in BRONX
CULINARY HUMAN SERVICES,unknown,MANHATTAN,40.86135114942,-73.9211840876,restaurant,unknown restaurant in MANHATTAN
DOUBLE UP EATS,unknown,BROOKLYN,40.69169932174,-73.9852946982,restaurant,unknown restaurant in BROOKLYN
GUI ZHOU HOT POT,unknown,QUEENS,40.7590989094,-73.83413911857,restaurant,unknown restaurant in QUEENS
GOLDEN STEER AT ONE FIFTH,unknown,MANHATTAN,40.73190559332,-73.99658664995,restaurant,unknown restaurant in MANHATTAN
MARASSI CAFE LLC,unknown,BROOKLYN,40.7002637676,-73.99345064447,restaurant,unknown restaurant in BROOKLYN
BIG TOTS LITTLE TIKES FOOD GOURMET INC,unknown,MANHATTAN,40.81418174023,-73.94824849511,restaurant,unknown restaurant in MANHATTAN
HOMEMADE TAQUERIA V-A CORP,unknown,MANHATTAN,40.75704748915,-73.99363995599,restaurant,unknown restaurant in MANHATTAN
