neighborhood,cd,borough,storefront_filing_count,act_ACCOUNTING_SERVICES_storefront,act_BROADCASTING_TELECOMM_storefront,act_EDUCATIONAL_SERVICES_storefront,act_FINANCE_AND_INSURANCE_storefront,act_FOOD_SERVICES_storefront,act_HEALTH_CARE_OR_SOCIAL_ASSISTANCE_storefront,act_INFORMATION_SERVICES_storefront,act_LEGAL_SERVICES_storefront,act_MANUFACTURING_storefront,act_MOVIES_VIDEO_SOUND_storefront,act_NO_BUSINESS_ACTIVITY_IDENTIFIED_storefront,act_PUBLISHING_storefront,act_REAL_ESTATE_storefront,act_RETAIL_storefront,act_UNKNOWN_storefront,act_WHOLESALE_storefront,act_other_storefront
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,10359,102,119,1454,131,1377,264,34,86,191,75,232,184,366,3061,79,848,1756
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,6314,13,33,962,109,979,315,31,80,62,18,132,152,282,1813,96,303,934
BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN,3699,24,25,537,22,538,106,6,21,26,22,95,75,130,1273,13,220,566
BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN,3692,18,17,521,20,577,120,9,12,31,10,104,71,104,1180,33,240,625
BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN,3224,57,17,435,36,368,105,7,23,59,20,88,57,114,982,11,194,651
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN,5338,34,14,512,94,802,232,12,54,134,19,197,138,325,1264,17,400,1090
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN,6292,84,71,690,85,708,263,16,64,141,15,133,152,246,1738,9,634,1243
BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN,2379,28,7,284,38,363,85,5,21,25,20,68,42,119,625,9,156,484
BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN,2982,15,8,603,22,387,91,8,16,10,6,31,46,82,1121,17,126,393
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN,4755,98,14,483,162,555,325,15,133,70,36,93,130,249,1137,28,301,926
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN,6138,69,49,761,133,681,306,17,114,50,26,144,192,255,1593,15,489,1244
BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN,5635,46,29,944,92,424,227,19,59,91,8,117,100,187,1972,12,382,926
BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN,2669,29,18,318,64,304,196,13,43,37,10,138,102,94,699,13,153,438
