station_name,borough,latitude,longitude,routes
astoria-ditmars blvd,QUEENS,40.775036,-73.912034,N W
astoria blvd,QUEENS,40.770258,-73.917843,N W
30 av,QUEENS,40.766779,-73.921479,N W
broadway,QUEENS,40.76182,-73.925508,N W
36 av,QUEENS,40.756804,-73.929575,N W
39 av-dutch kills,QUEENS,40.752882,-73.932755,N W
lexington av/59 st,MANHATTAN,40.76266,-73.967258,N R W
5 av/59 st,MANHATTAN,40.764811,-73.973347,N R W
57 st-7 av,MANHATTAN,40.764664,-73.980658,N Q R W
49 st,MANHATTAN,40.759901,-73.984139,N R W
times sq-42 st,MANHATTAN,40.754672,-73.986754,N Q R W
34 st-herald sq,MANHATTAN,40.749567,-73.98795,N Q R W
28 st,MANHATTAN,40.745494,-73.988691,R W
23 st,MANHATTAN,40.741303,-73.989344,R W
14 st-union sq,MANHATTAN,40.735736,-73.990568,N Q R W
8 st-nyu,MANHATTAN,40.730328,-73.992629,R W
prince st,MANHATTAN,40.724329,-73.997702,R W
canal st,MANHATTAN,40.719527,-74.001775,R W
canal st,MANHATTAN,40.718383,-74.00046,N Q
city hall,MANHATTAN,40.713282,-74.006978,R W
cortlandt st,MANHATTAN,40.710668,-74.011029,R W
rector st,MANHATTAN,40.70722,-74.013342,R W
whitehall st-south ferry,MANHATTAN,40.703087,-74.012994,R W
court st,BROOKLYN,40.6941,-73.991777,R
jay st-metrotech,BROOKLYN,40.69218,-73.985942,R
dekalb av,BROOKLYN,40.690635,-73.981824,B Q R
atlantic av-barclays ctr,BROOKLYN,40.683666,-73.97881,D N R
union st,BROOKLYN,40.677316,-73.98311,R
4 av-9 st,BROOKLYN,40.670847,-73.988302,R
prospect av,BROOKLYN,40.665414,-73.992872,R
25 st,BROOKLYN,40.660397,-73.998091,R
36 st,BROOKLYN,40.655144,-74.003549,D N R
45 st,BROOKLYN,40.648939,-74.010006,R
53 st,BROOKLYN,40.645069,-74.014034,R
59 st,BROOKLYN,40.641362,-74.017881,N R
bay ridge av,BROOKLYN,40.634967,-74.023377,R
77 st,BROOKLYN,40.629742,-74.02551,R
86 st,BROOKLYN,40.622687,-74.028398,R
bay ridge-95 st,BROOKLYN,40.616622,-74.030876,R
atlantic av-barclays ctr,BROOKLYN,40.68446,-73.97689,B Q
7 av,BROOKLYN,40.67705,-73.972367,B Q
prospect park,BROOKLYN,40.661614,-73.962246,B Q S
parkside av,BROOKLYN,40.655292,-73.961495,Q
church av,BROOKLYN,40.650527,-73.962982,B Q
beverley rd,BROOKLYN,40.644031,-73.964492,Q
cortelyou rd,BROOKLYN,40.640927,-73.963891,Q
newkirk plaza,BROOKLYN,40.635082,-73.962793,B Q
avenue h,BROOKLYN,40.62927,-73.961639,Q
avenue j,BROOKLYN,40.625039,-73.960803,Q
avenue m,BROOKLYN,40.617618,-73.959399,Q
kings hwy,BROOKLYN,40.60867,-73.957734,B Q
avenue u,BROOKLYN,40.5993,-73.955929,Q
neck rd,BROOKLYN,40.595246,-73.955161,Q
sheepshead bay,BROOKLYN,40.586896,-73.954155,B Q
brighton beach,BROOKLYN,40.577621,-73.961376,B Q
ocean pkwy,BROOKLYN,40.576312,-73.968501,Q
w 8 st-ny aquarium,BROOKLYN,40.576127,-73.975939,F Q
