station_name,latitude,longitude,routes,neighborhood,cd,borough
Astoria-Ditmars Blvd,40.775036,-73.912034,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
Astoria Blvd,40.770258,-73.917843,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
30 Av,40.766779,-73.921479,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
Broadway,40.76182,-73.925508,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
36 Av,40.756804,-73.929575,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
39 Av-Dutch Kills,40.752882,-73.932755,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
Lexington Av/59 St,40.76266,-73.967258,N R W,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN
5 Av/59 St,40.764811,-73.973347,N R W,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
57 St-7 Av,40.764664,-73.980658,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
49 St,40.759901,-73.984139,N R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
Times Sq-42 St,40.754672,-73.986754,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
34 St-Herald Sq,40.749567,-73.98795,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
28 St,40.745494,-73.988691,R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
23 St,40.741303,-73.989344,R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
14 St-Union Sq,40.735736,-73.990568,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
8 St-NYU,40.730328,-73.992629,R W,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Prince St,40.724329,-73.997702,R W,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Canal St,40.719527,-74.001775,R W,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Canal St,40.718383,-74.00046,N Q,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
City Hall,40.713282,-74.006978,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Cortlandt St,40.710668,-74.011029,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Rector St,40.70722,-74.013342,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Whitehall St-South Ferry,40.703087,-74.012994,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Court St,40.6941,-73.991777,R,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
Jay St-MetroTech,40.69218,-73.985942,R,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
DeKalb Av,40.690635,-73.981824,B Q R,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
Atlantic Av-Barclays Ctr,40.683666,-73.97881,D N R,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN
Union St,40.677316,-73.98311,R,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN
4 Av-9 St,40.670847,-73.988302,R,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN
Prospect Av,40.665414,-73.992872,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
25 St,40.660397,-73.998091,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
36 St,40.655144,-74.003549,D N R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
45 St,40.648939,-74.010006,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
53 St,40.645069,-74.014034,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
59 St,40.641362,-74.017881,N R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
Bay Ridge Av,40.634967,-74.023377,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
77 St,40.629742,-74.02551,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
86 St,40.622687,-74.028398,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
Bay Ridge-95 St,40.616622,-74.030876,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
Atlantic Av-Barclays Ctr,40.68446,-73.97689,B Q,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
7 Av,40.67705,-73.972367,B Q,BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN
Prospect Park,40.661614,-73.962246,B Q S,BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN
Parkside Av,40.655292,-73.961495,Q,BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN
Church Av,40.650527,-73.962982,B Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Beverley Rd,40.644031,-73.964492,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Cortelyou Rd,40.640927,-73.963891,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Newkirk Plaza,40.635082,-73.962793,B Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Avenue H,40.62927,-73.961639,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Avenue J,40.625039,-73.960803,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
